iter	Passed	Remaining
399	30147	7536
400	30222	7461
401	30285	7383
402	30354	7306
403	30424	7229
404	30489	7151
405	30563	7076
406	30631	6999
407	30697	6921
408	30761	6844
409	30834	6768
410	30903	6691
411	30967	6614
412	31038	6538
413	31104	6461
414	31177	6385
415	31247	6309
416	31311	6232
417	31376	6155
418	31441	6078
419	31510	6001
420	31574	5924
421	31638	5847
422	31713	5772
423	31776	5695
424	31848	5620
425	31917	5544
426	31982	5467
427	32049	5391
428	32114	5314
429	32184	5239
430	32249	5162
431	32321	5087
432	32391	5012
433	32457	4935
434	32521	4859
435	32586	4783
436	32655	4707
437	32720	4631
438	32790	4556
439	32867	4481
440	32935	4406
441	33000	4330
442	33068	4254
443	33138	4179
444	33203	4103
445	33269	4028
446	33335	3952
447	33403	3877
448	33467	3801
449	33538	3726
450	33607	3651
451	33672	3575
452	33738	3500
453	33802	3424
454	33878	3350
455	33947	3275
456	34013	3200
457	34077	3125
458	34141	3049
459	34212	2974
460	34276	2899
461	34341	2824
462	34411	2749
463	34479	2675
464	34548	2600
465	34612	2525
466	34677	2450
467	34742	2375
468	34807	2300
469	34888	2226
470	34954	2152
471	35018	2077
472	35084	2002
473	35160	1928
474	35224	1853
475	35289	1779
476	35354	1704
477	35423	1630
478	35488	1555
479	35553	1481
480	35618	1406
481	35687	1332
482	35752	1258
483	35817	1184
484	35886	1109
485	35956	1035
486	36023	961
487	36097	887
488	36163	813
489	36228	739
490	36295	665
491	36366	591
492	36439	517
493	36505	443
494	36577	369
495	36650	295
496	36715	221
497	36786	147
498	36855	73
499	36939	0
