iter	MultiClass
187	0.2132990547
188	0.2126881964
189	0.2122803734
190	0.2116060964
191	0.2111335791
192	0.2106069229
193	0.209716404
194	0.2089063137
195	0.2076422221
196	0.2069636979
197	0.2059817843
198	0.2052796158
199	0.2044455098
200	0.2040891323
201	0.2034751285
202	0.2027682253
203	0.2021433667
204	0.2017338642
205	0.2008860015
206	0.1998287216
207	0.1993047069
208	0.1988742184
209	0.1984037792
210	0.1980179221
211	0.1975297191
212	0.1972953506
213	0.1964897534
214	0.1959061828
215	0.1952428532
216	0.1945929834
217	0.1943469013
218	0.1934119233
219	0.1926223284
220	0.1918759444
221	0.1911039737
222	0.1899731997
223	0.189605403
224	0.1884700814
225	0.1880297799
226	0.1873670432
227	0.1866265969
228	0.1859705505
229	0.1854374672
230	0.185094843
231	0.1843454578
232	0.1839130377
233	0.1835858481
234	0.1830281976
235	0.182530759
236	0.1817076817
237	0.1812461082
238	0.1806213004
239	0.1802131183
240	0.1797767635
241	0.179164083
242	0.1785742016
243	0.1782561947
244	0.1777601959
245	0.1772724633
246	0.1767508427
247	0.1761355769
248	0.1756045616
249	0.1752176231
250	0.1748880938
251	0.1744550998
252	0.1741197156
253	0.1735702596
254	0.173108128
255	0.172888591
256	0.1719204505
257	0.1711319784
258	0.1706536715
259	0.1702073577
260	0.1695125926
261	0.1687284011
262	0.1684996831
263	0.1681943773
264	0.1679885735
265	0.167768926
266	0.1674780696
267	0.1670959023
268	0.1665849018
269	0.1657629384
270	0.1649289382
271	0.164704466
272	0.1638009529
273	0.1635663025
274	0.1629945734
275	0.1622710489
276	0.1615530851
277	0.1611046377
278	0.1603688556
279	0.1599291264
280	0.1594038331
281	0.1585178739
282	0.1577136928
283	0.1570593459
284	0.1566694793
285	0.1560124181
286	0.15566007
287	0.155399445
288	0.1549897273
289	0.1547202455
290	0.1541573802
291	0.1534622737
292	0.1533133516
293	0.1530330894
294	0.1527525288
295	0.1525769373
296	0.1520743694
297	0.1517449121
298	0.1513870518
299	0.1507895002
300	0.1499242297
301	0.1496191295
302	0.1493635023
303	0.1491223386
304	0.1487653008
305	0.1483900705
306	0.148058297
307	0.1471091735
308	0.146500629
309	0.1460397199
310	0.1456577258
311	0.1451070831
312	0.1448871918
313	0.1444902699
314	0.144168505
315	0.1439506036
316	0.1437844155
317	0.1435228768
318	0.1431080562
319	0.1428135451
320	0.1425383544
321	0.1422033184
322	0.1417847896
323	0.1415885195
324	0.1412483862
325	0.1406783887
326	0.1403721766
327	0.140139618
328	0.1398431767
329	0.1395511118
330	0.1390695947
331	0.1387974216
332	0.1382063083
333	0.1379758351
334	0.1375412047
335	0.1374052095
336	0.1369037505
337	0.1363945015
338	0.1360390026
339	0.1358983215
340	0.1354393832
341	0.1351159861
342	0.1347120669
343	0.1342514138
344	0.134006819
345	0.1338320069
346	0.1336169046
347	0.1333513854
348	0.1332879556
349	0.1328991415
350	0.1325272272
351	0.1322248586
352	0.1317243498
353	0.1315841218
354	0.1313393027
355	0.1311598126
356	0.130916575
357	0.1307487008
358	0.1304916754
359	0.1302345123
360	0.1299869263
361	0.1298278637
362	0.1295099358
363	0.1292040721
364	0.1290195407
365	0.1288484237
366	0.1287714133
367	0.1286013796
368	0.1282501872
369	0.1278155913
370	0.1276353305
371	0.1271295768
372	0.1269364411
373	0.1265875845
374	0.1264538139
375	0.1262617009
376	0.1260864911
377	0.1257420833
378	0.1255290566
379	0.1254506207
380	0.1252428055
381	0.125004269
382	0.1248402899
383	0.1247622214
384	0.1246982371
385	0.124537383
386	0.1242522674
387	0.1240010397
388	0.1235953164
389	0.1232109113
390	0.1229226073
391	0.1226862867
392	0.1225089399
393	0.1224169336
394	0.1221322229
395	0.1220335847
396	0.1218683442
397	0.1217740632
398	0.1216397205
399	0.1213734711
400	0.1211088723
401	0.1207683432
402	0.1205075547
403	0.1201895839
404	0.1198838662
405	0.1197879451
406	0.1194233785
407	0.1193335327
408	0.119057443
409	0.118897546
410	0.1187427409
411	0.1186203121
412	0.1183989699
413	0.1181434935
414	0.1179437716
415	0.1173754321
416	0.1172749887
417	0.1168793285
418	0.1166494389
419	0.1164805053
420	0.1162300751
421	0.1160116962
422	0.1158310998
423	0.115600018
424	0.1154623522
425	0.1153498103
426	0.1151705833
427	0.1149363892
428	0.1147737595
429	0.1147011636
430	0.1144852133
431	0.1143791796
432	0.1141540055
433	0.1139899957
434	0.1138196028
435	0.1136719897
436	0.1135054755
437	0.1134198096
438	0.1133428636
439	0.11292928
440	0.1126091786
441	0.1125342144
442	0.1122682968
443	0.1120728332
444	0.1119766565
445	0.1118483567
446	0.1115986962
447	0.1114362545
448	0.1113621497
449	0.1112318598
450	0.1111618566
451	0.1108954367
452	0.1107018331
453	0.1105083354
454	0.1102823575
455	0.1101200497
456	0.1099902271
457	0.1099166411
458	0.1098281037
459	0.1096075431
460	0.1095071801
461	0.1093876567
462	0.1091182255
463	0.1090400147
464	0.1087059374
465	0.1084954338
466	0.1082433613
467	0.1080962487
468	0.107892622
469	0.1077826343
470	0.1076932584
471	0.1075727907
472	0.1074421146
473	0.1073458196
474	0.1072077283
475	0.1069761523
476	0.1068177064
477	0.106641154
478	0.1064022555
479	0.1063777981
480	0.106148815
481	0.1060677212
482	0.1059345885
483	0.1056316486
484	0.1055385166
485	0.1053872292
486	0.1052426988
487	0.1051294586
488	0.1049735743
489	0.1048065144
490	0.1046349936
491	0.1044840174
492	0.1041914122
493	0.104116237
494	0.1039959305
495	0.1039033281
496	0.1037665366
497	0.1036047583
498	0.1034047688
499	0.1033593646
